meeting_id,meeting_type,split,n_utterances,n_speakers,sds,dominant_speaker_flag,total_words
IN1008,OTHER,train,902,4,1.4972,0,8651
EN2002b,OTHER,train,672,4,1.7619,1,6064
EN2006a,OTHER,train,1141,4,1.8162,1,9129
IB4001,OTHER,train,527,4,1.9927,1,4671
IN1007,OTHER,train,898,4,1.6573,1,8305
EN2006b,OTHER,train,1049,4,1.9951,1,6995
IB4005,OTHER,train,586,4,1.7634,1,6358
EN2009d,OTHER,train,1594,4,1.5951,1,18376
EN2005a,OTHER,train,971,4,1.6207,1,15593
EN2009c,OTHER,train,787,3,1.3271,0,10661
IB4004,OTHER,train,640,4,1.8742,1,7916
IB4011,OTHER,train,764,4,1.0672,0,7549
EN2004a,OTHER,train,989,4,2.2095,1,10051
IN1012,OTHER,train,1048,4,1.891,1,10572
IN1002,OTHER,train,689,4,1.0746,0,7739
EN2002c,OTHER,train,1007,3,1.1649,0,10731
IN1005,OTHER,train,570,4,2.1207,1,8980
EN2001a,OTHER,train,1022,5,2.9292,1,16351
IN1014,OTHER,train,775,4,1.144,0,11038
EN2009b,OTHER,train,643,3,1.2599,0,8348
IB4003,OTHER,train,492,4,1.7284,1,6663
EN2001d,OTHER,train,720,5,2.5928,1,10259
IB4002,OTHER,train,578,4,1.4469,0,4249
ES2016d,ES,train,377,4,1.6087,1,3568
ES2002a,ES,train,230,4,1.9962,1,2611
ES2010b,ES,train,356,4,1.4987,0,4740
ES2009c,ES,train,383,4,1.4536,0,5845
ES2006d,ES,train,723,4,1.1759,0,6072
ES2008c,ES,train,398,4,1.3639,0,6100
ES2013c,ES,train,310,4,1.1224,0,5727
ES2008b,ES,train,407,4,1.1146,0,6004
ES2005d,ES,train,436,4,1.3442,0,3818
ES2009a,ES,train,385,4,2.5867,1,4333
ES2012c,ES,train,449,4,1.9218,1,6525
ES2002b,ES,train,540,4,1.2427,0,7033
ES2015c,ES,train,589,4,1.5879,1,5940
ES2004c,ES,train,502,4,1.3278,0,7046
ES2016a,ES,train,206,4,1.5554,1,2978
ES2011b,ES,train,331,4,1.17,0,4605
ES2015b,ES,train,571,4,1.2981,0,6779
ES2011a,ES,train,221,4,1.6369,1,2473
ES2015a,ES,train,165,4,2.0884,1,2398
ES2013b,ES,train,341,4,1.2753,0,5053
ES2004d,ES,train,636,4,1.4219,0,6175
ES2007a,ES,train,271,4,1.8337,1,2598
ES2009d,ES,train,574,4,1.2699,0,6498
ES2004a,ES,train,254,4,1.6304,1,2630
ES2012b,ES,train,289,4,1.978,1,5646
ES2002d,ES,train,789,4,1.3287,0,7797
ES2012a,ES,train,117,4,2.0565,1,2797
ES2016c,ES,train,201,4,1.5664,1,4816
ES2010a,ES,train,116,4,2.5657,1,1492
ES2015d,ES,train,801,4,1.1416,0,5694
ES2011d,ES,train,477,4,1.258,0,4528
ES2005c,ES,train,680,4,1.2386,0,6769
ES2012d,ES,train,208,4,2.1729,1,2603
ES2003a,ES,train,92,4,1.8493,1,2057
ES2005a,ES,train,85,4,1.5629,1,755
ES2007d,ES,train,347,4,1.6906,1,3232
ES2006c,ES,train,546,4,1.4597,0,6437
ES2010d,ES,train,375,4,1.546,1,2916
ES2014c,ES,train,495,4,1.2336,0,6456
ES2014b,ES,train,442,4,1.3754,0,6113
ES2003d,ES,train,419,4,1.6868,1,6149
ES2010c,ES,train,434,4,1.1913,0,5389
IS1000b,IS,train,495,4,1.1277,0,5835
IS1004b,IS,train,346,4,1.7057,1,6409
